meeting,min_iou,one_to_one_rate,one_to_one,split,merge,tangle,unmatched_a,unmatched_b
"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",0.25,0.9891,272,1,0,0,2,1
"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",0.5,0.9891,272,0,0,0,3,3
"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",0.75,0.9855,271,0,0,0,4,4
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",0.05,0.9528,101,0,2,0,0,0
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",0.1,0.9528,101,0,2,0,0,0
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",0.25,0.9623,102,0,1,0,2,0
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",0.5,0.9717,103,0,0,0,3,0
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",0.75,0.9623,102,0,0,0,4,1
"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",0.05,0.9689,187,1,2,0,0,1
"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",0.1,0.9689,187,1,2,0,1,1
"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",0.25,0.9741,188,0,2,0,1,2
"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",0.5,0.9793,189,0,0,0,4,3
"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",0.75,0.9741,188,0,0,0,5,4
